iteration,clf__alpha,clf__l1_ratio,clf__n_iter,kbest__percentile,vec__max_df,vec__min_df,vec__ngram_range,vec__sublinear_tf,scores_10_fold_cv
63,4.18E-07,0.049029461,65,74.0714771,0.810218924,2,"(1, 3)",TRUE,0.956760183
64,9.60E-05,0.55189393,70,99.73695299,0.856731235,2,"(1, 3)",TRUE,0.955938466
65,2.30E-07,0.914432124,50,64.88533889,0.83013495,1,"(1, 2)",TRUE,0.95314474
66,3.28E-05,0.037222207,45,88.82927342,0.864236334,2,"(1, 2)",FALSE,0.964748849
67,3.24E-05,0.062668208,45,94.28795636,0.882589674,2,"(1, 2)",FALSE,0.964230749
68,1.09E-05,0.178782219,45,87.0058375,0.841802607,2,"(1, 2)",FALSE,0.962286356
69,6.20E-06,0.109244385,45,80.15754517,0.859104659,2,"(1, 2)",FALSE,0.962254145
70,4.38E-05,0.001999941,55,97.62646004,0.907932196,2,"(1, 2)",FALSE,0.965350838
71,7.37E-05,0.243962709,55,83.78290835,0.940312221,2,"(1, 2)",FALSE,0.961419976
72,4.63E-05,0.08439181,55,97.55787308,0.919127843,2,"(1, 2)",FALSE,0.964124518
73,1.85E-05,0.013371709,55,92.36409351,0.897776802,2,"(1, 2)",FALSE,0.964602545
74,1.13E-05,0.16059216,55,69.03819269,0.982131157,2,"(1, 3)",FALSE,0.963119659
75,9.94E-05,0.068970386,60,71.0115361,0.888516941,2,"(1, 3)",FALSE,0.9634448
76,4.54E-06,0.116119037,25,52.26283464,0.959914791,2,"(1, 2)",FALSE,0.961256945
77,7.44E-07,0.362809291,40,90.77011631,0.909570917,2,"(1, 3)",TRUE,0.954277712
78,1.98E-08,0.707620108,20,95.45580029,0.920364129,1,"(1, 1)",FALSE,0.943789467
79,7.71E-06,0.783229683,30,98.39927493,0.792750684,2,"(1, 2)",TRUE,0.950834485
80,2.58E-05,0.261809553,75,76.9233265,0.825215397,2,"(1, 3)",TRUE,0.963046521
81,2.35E-06,0.148420942,55,86.4895277,0.996759491,2,"(1, 2)",FALSE,0.961301045
82,1.83E-05,0.026078056,65,62.05126831,0.907927187,3,"(1, 2)",TRUE,0.963674456
83,6.61E-05,0.000796975,60,93.82179467,0.940578808,2,"(1, 3)",TRUE,0.966011074
84,5.96E-09,0.220013815,60,93.99252661,0.940869163,1,"(1, 1)",TRUE,0.944340123
85,6.89E-05,0.183460244,70,96.41418701,0.968393007,2,"(1, 3)",FALSE,0.962242928
86,5.23E-05,0.310730969,75,98.91435229,0.871962333,2,"(1, 2)",TRUE,0.961763705
87,2.20E-09,0.022435551,50,91.24479783,0.975313904,2,"(1, 3)",TRUE,0.955182906
88,4.25E-05,0.274581246,35,93.24421572,0.952602552,3,"(1, 2)",FALSE,0.960887935
89,2.96E-06,0.000623713,55,89.36780578,0.946047924,2,"(1, 2)",TRUE,0.964302911
90,4.39E-08,0.323370757,25,81.54262155,0.963643118,1,"(1, 1)",TRUE,0.94644887
91,4.67E-06,0.100949918,30,83.92431563,0.933819584,2,"(1, 3)",FALSE,0.962891771
92,9.93E-06,0.847624803,20,87.57404954,0.903969869,2,"(1, 2)",TRUE,0.947910526
93,1.39E-05,0.528438089,60,78.26352426,0.922688046,3,"(1, 3)",TRUE,0.958626949
94,1.70E-06,0.656303469,75,96.38995873,0.993300786,2,"(1, 2)",FALSE,0.953768167
95,9.38E-09,0.234624177,40,85.54369442,0.987049621,2,"(1, 1)",TRUE,0.941881219
96,1.00E-04,0.584345574,65,99.85229681,0.893395238,1,"(1, 2)",TRUE,0.952726611
97,2.74E-05,0.07680132,60,93.52677755,0.881987449,2,"(1, 3)",FALSE,0.963802657
98,1.28E-06,0.13686991,55,90.03814703,0.89158447,3,"(1, 2)",TRUE,0.957244676
99,1.15E-07,0.470930994,75,95.24470593,0.848809353,2,"(1, 3)",FALSE,0.954108098
100,8.42E-05,0.049195831,70,79.96891063,0.83511495,2,"(1, 2)",TRUE,0.964767594
101,6.93E-06,0.194666385,50,88.55104361,0.918108492,1,"(1, 1)",TRUE,0.950392762
102,3.48E-05,0.400274806,35,83.14546733,0.936506419,2,"(1, 2)",FALSE,0.96088255
103,9.84E-07,0.000115229,60,96.98439954,0.946303218,2,"(1, 3)",TRUE,0.960358545
104,5.35E-07,0.343989888,55,91.31184172,0.925164822,3,"(1, 2)",FALSE,0.953288948
105,1.64E-05,0.16062789,30,98.77431089,0.868846737,2,"(1, 3)",TRUE,0.963349005
106,2.30E-05,0.289664274,25,92.73252272,0.859475187,2,"(1, 2)",TRUE,0.961689611
